Name,Type,MACs,CPercent,Memory,MPercent,Params,PPercent,InShape,OutShape
LeakyRelu_103,LeakyRelu,98304,0.01%,196608,0.23%,0,0.00%,1x128x16x24,1x128x16x24
Add_104,Add,49152,0.00%,196608,0.23%,0,0.00%,1x128x16x24,1x128x16x24
Conv_105,Conv,6340608,0.37%,262656,0.30%,16512,0.72%,1x128x16x24,1x128x16x24
LeakyRelu_106,LeakyRelu,98304,0.01%,196608,0.23%,0,0.00%,1x128x16x24,1x128x16x24
Conv_107,Conv,56672256,3.29%,786944,0.91%,147584,6.45%,1x128x16x24,1x128x16x24
LeakyRelu_108,LeakyRelu,98304,0.01%,196608,0.23%,0,0.00%,1x128x16x24,1x128x16x24
Add_109,Add,49152,0.00%,196608,0.23%,0,0.00%,1x128x16x24,1x128x16x24
Conv_111,Conv,25264128,1.47%,656384,0.76%,65792,2.88%,1x256x16x24,1x256x16x24
LeakyRelu_112,LeakyRelu,196608,0.01%,393216,0.45%,0,0.00%,1x256x16x24,1x256x16x24
Conv_113,Conv,12632064,0.73%,328192,0.38%,32896,1.44%,1x256x16x24,1x128x16x24
LeakyRelu_114,LeakyRelu,98304,0.01%,196608,0.23%,0,0.00%,1x128x16x24,1x128x16x24
Resize_116,Resize,786432,0.05%,786448,0.91%,4,0.00%,1x128x16x24,1x128x32x48
Conv_118,Conv,25264128,1.47%,459008,0.53%,16448,0.72%,1x256x32x48,1x64x32x48
Conv_120,Conv,25264128,1.47%,459008,0.53%,16448,0.72%,1x256x32x48,1x64x32x48
LeakyRelu_119,LeakyRelu,196608,0.01%,393216,0.45%,0,0.00%,1x64x32x48,1x64x32x48
LeakyRelu_121,LeakyRelu,196608,0.01%,393216,0.45%,0,0.00%,1x64x32x48,1x64x32x48
Conv_122,Conv,6389760,0.37%,409856,0.47%,4160,0.18%,1x64x32x48,1x64x32x48
LeakyRelu_123,LeakyRelu,196608,0.01%,393216,0.45%,0,0.00%,1x64x32x48,1x64x32x48
Conv_124,Conv,56721408,3.30%,540928,0.63%,36928,1.62%,1x64x32x48,1x64x32x48
LeakyRelu_125,LeakyRelu,196608,0.01%,393216,0.45%,0,0.00%,1x64x32x48,1x64x32x48
Conv_126,Conv,6389760,0.37%,409856,0.47%,4160,0.18%,1x64x32x48,1x64x32x48
LeakyRelu_127,LeakyRelu,196608,0.01%,393216,0.45%,0,0.00%,1x64x32x48,1x64x32x48
Conv_128,Conv,56721408,3.30%,540928,0.63%,36928,1.62%,1x64x32x48,1x64x32x48
LeakyRelu_129,LeakyRelu,196608,0.01%,393216,0.45%,0,0.00%,1x64x32x48,1x64x32x48
Conv_131,Conv,25362432,1.47%,852480,0.99%,16512,0.72%,1x128x32x48,1x128x32x48
LeakyRelu_132,LeakyRelu,393216,0.02%,786432,0.91%,0,0.00%,1x128x32x48,1x128x32x48
Conv_133,Conv,56672256,3.29%,786944,0.91%,147584,6.45%,1x128x32x48,1x128x16x24
Conv_151,Conv,25362432,1.47%,852480,0.99%,16512,0.72%,1x128x32x48,1x128x32x48
LeakyRelu_134,LeakyRelu,98304,0.01%,196608,0.23%,0,0.00%,1x128x16x24,1x128x16x24
LeakyRelu_152,LeakyRelu,393216,0.02%,786432,0.91%,0,0.00%,1x128x32x48,1x128x32x48
