Name           Type       MACs           CPercent    Memory      MPercent    Params     PPercent    InShape       OutShape
LeakyRelu_69   LeakyRelu  196,608        0.01%       393,216     0.45%       0          0.00%       1x64x32x48    1x64x32x48
Conv_70        Conv       56,721,408     3.30%       540,928     0.63%       36,928     1.62%       1x64x32x48    1x64x32x48
LeakyRelu_71   LeakyRelu  196,608        0.01%       393,216     0.45%       0          0.00%       1x64x32x48    1x64x32x48
Add_72         Add        98,304         0.01%       393,216     0.45%       0          0.00%       1x64x32x48    1x64x32x48
Conv_73        Conv       6,389,760      0.37%       409,856     0.47%       4,160      0.18%       1x64x32x48    1x64x32x48
LeakyRelu_74   LeakyRelu  196,608        0.01%       393,216     0.45%       0          0.00%       1x64x32x48    1x64x32x48
Conv_75        Conv       56,721,408     3.30%       540,928     0.63%       36,928     1.62%       1x64x32x48    1x64x32x48
LeakyRelu_76   LeakyRelu  196,608        0.01%       393,216     0.45%       0          0.00%       1x64x32x48    1x64x32x48
Add_77         Add        98,304         0.01%       393,216     0.45%       0          0.00%       1x64x32x48    1x64x32x48
Conv_79        Conv       25,362,432     1.47%       852,480     0.99%       16,512     0.72%       1x128x32x48   1x128x32x48
LeakyRelu_80   LeakyRelu  393,216        0.02%       786,432     0.91%       0          0.00%       1x128x32x48   1x128x32x48
Conv_81        Conv       113,344,512    6.59%       1,573,888   1.82%       295,168    12.91%      1x128x32x48   1x256x16x24
LeakyRelu_82   LeakyRelu  196,608        0.01%       393,216     0.45%       0          0.00%       1x256x16x24   1x256x16x24
Conv_83        Conv       12,632,064     0.73%       328,192     0.38%       32,896     1.44%       1x256x16x24   1x128x16x24
LeakyRelu_84   LeakyRelu  98,304         0.01%       196,608     0.23%       0          0.00%       1x128x16x24   1x128x16x24
MaxPool_85     MaxPool    1,228,800      0.07%       196,608     0.23%       0          0.00%       1x128x16x24   1x128x16x24
MaxPool_86     MaxPool    3,981,312      0.23%       196,608     0.23%       0          0.00%       1x128x16x24   1x128x16x24
MaxPool_87     MaxPool    3,981,312      0.23%       196,608     0.23%       0          0.00%       1x128x16x24   1x128x16x24
Conv_89        Conv       37,847,040     2.20%       787,456     0.91%       98,560     4.31%       1x384x16x24   1x256x16x24
LeakyRelu_90   LeakyRelu  196,608        0.01%       393,216     0.45%       0          0.00%       1x256x16x24   1x256x16x24
Conv_91        Conv       12,632,064     0.73%       328,192     0.38%       32,896     1.44%       1x256x16x24   1x128x16x24
Conv_93        Conv       12,632,064     0.73%       328,192     0.38%       32,896     1.44%       1x256x16x24   1x128x16x24
LeakyRelu_92   LeakyRelu  98,304         0.01%       196,608     0.23%       0          0.00%       1x128x16x24   1x128x16x24
LeakyRelu_94   LeakyRelu  98,304         0.01%       196,608     0.23%       0          0.00%       1x128x16x24   1x128x16x24
Conv_95        Conv       6,340,608      0.37%       262,656     0.30%       16,512     0.72%       1x128x16x24   1x128x16x24
